Date,Deaths.Reported,Positive,Negative
21-Jan,0,1,NA
22-Jan,0,1,NA
23-Jan,0,1,NA
24-Jan,0,1,NA
25-Jan,0,1,NA
26-Jan,0,1,NA
27-Jan,0,1,NA
28-Jan,0,1,NA
29-Jan,0,1,NA
30-Jan,0,1,NA
31-Jan,0,1,NA
1-Feb,0,1,NA
2-Feb,0,1,NA
3-Feb,0,1,NA
4-Feb,0,1,NA
5-Feb,0,1,NA
6-Feb,0,1,NA
7-Feb,0,1,NA
8-Feb,0,1,NA
9-Feb,0,1,NA
10-Feb,0,1,NA
11-Feb,0,1,NA
12-Feb,0,1,NA
13-Feb,0,1,NA
14-Feb,0,1,NA
15-Feb,0,1,NA
16-Feb,0,1,NA
17-Feb,0,1,NA
18-Feb,0,1,NA
19-Feb,0,1,NA
20-Feb,0,1,NA
21-Feb,0,1,NA
22-Feb,0,1,NA
23-Feb,0,1,NA
24-Feb,0,1,NA
25-Feb,0,1,NA
26-Feb,0,1,NA
27-Feb,0,1,NA
28-Feb,0,3,NA
29-Feb,0,6,NA
1-Mar,0,13,NA
2-Mar,3,18,NA
3-Mar,9,27,NA
4-Mar,10,39,NA
5-Mar,10,70,NA
6-Mar,15,79,NA
7-Mar,16,102,NA
8-Mar,18,136,1110
9-Mar,21,162,1149
10-Mar,24,267,2175
11-Mar,29,366,3037
12-Mar,31,457,4350
13-Mar,37,568,6001
14-Mar,40,642,7122
15-Mar,42,769,9451
16-Mar,48,904,11582
17-Mar,52,1012,13117
18-Mar,66,1187,15918
19-Mar,74,1376,19366
